"cluster","identity","confidence"
"0","Tumor III",1
"1","Intestinal Epithelial",0.99
"10","Myeloid",0.72
"11","Tumor III",0.5
"12","Intestinal Epithelial",1
"13","Intestinal Epithelial",0.71
"14","Fibroblast",0.99
"15","Tumor IV",0.96
"16","Tumor (shared)",0.67
"17","Tumor IV",0.84
"18","Neuronal",0.88
"2","Tumor II",1
"3","Endothelial",0.73
"4","Smooth Muscle",0.79
"5","Tumor IV",0.98
"6","Fibroblast",0.97
"7","Tumor III",1
"8","B cells",0.57
"9","T cells",0.57
